# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "CDS" "-g" "locus_tag" "-a" "../data/reference_sequences/tot_seqs.gff" "-o" "../data/rna_align/counttable_bb.txt" "-M" "../data/rna_align/1_CON_0_1_NEB_DPLEX.bam" "../data/rna_align/3_CON_2_1_NEB_DPLEX.bam" "../data/rna_align/4_CON_2_2_NEB_DPLEX.bam" "../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam" "../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam" "../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam" "../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam" "../data/rna_align/CON_0_1_RZ_DPLEX.bam" "../data/rna_align/CON_0_2_RZ_DPLEX.bam" "../data/rna_align/CON_2_1_RZ_DPLEX.bam" "../data/rna_align/CON_2_2_RZ_DPLEX.bam" "../data/rna_align/PNA_0_1_RZ_DPLEX.bam" "../data/rna_align/PNA_0_2_RZ_DPLEX.bam" "../data/rna_align/PNA_2_1_RZ_DPLEX.bam" "../data/rna_align/PNA_2_2_RZ_DPLEX.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/1_CON_0_1_NEB_DPLEX.bam	../data/rna_align/3_CON_2_1_NEB_DPLEX.bam	../data/rna_align/4_CON_2_2_NEB_DPLEX.bam	../data/rna_align/5_PNA_0_1_NEB_DPLEX.bam	../data/rna_align/6_PNA_0_2_NEB_DPLEX.bam	../data/rna_align/7_PNA_2_1_NEB_DPLEX.bam	../data/rna_align/8_PNA_2_2_NEB_DPLEX.bam	../data/rna_align/CON_0_1_RZ_DPLEX.bam	../data/rna_align/CON_0_2_RZ_DPLEX.bam	../data/rna_align/CON_2_1_RZ_DPLEX.bam	../data/rna_align/CON_2_2_RZ_DPLEX.bam	../data/rna_align/PNA_0_1_RZ_DPLEX.bam	../data/rna_align/PNA_0_2_RZ_DPLEX.bam	../data/rna_align/PNA_2_1_RZ_DPLEX.bam	../data/rna_align/PNA_2_2_RZ_DPLEX.bam
Bovatus_RS10955	NZ_CP012938.1	2747328	2748392	-	1065	1533	1415	1291	930	709	1464	765	43	28	64	92	28	29	87	37
Bovatus_RS10965	NZ_CP012938.1	2748580	2749272	+	693	159	387	424	74	43	352	189	40	6	20	26	10	7	23	18
Bovatus_RS10970	NZ_CP012938.1	2749347	2750126	-	780	78	150	189	28	47	131	78	220	59	128	48	110	107	42	21
Bovatus_RS10975	NZ_CP012938.1	2750208	2750879	+	672	92	237	302	94	52	289	155	15	5	20	13	8	4	26	9
Bovatus_RS10980	NZ_CP012938.1	2751467	2752519	-	1053	336	384	351	202	163	336	223	44	18	43	18	19	28	20	8
Bovatus_RS10985	NZ_CP012938.1	2752558	2753793	-	1236	218	559	686	142	100	601	279	42	56	100	35	34	19	44	14
Bovatus_RS10990	NZ_CP012938.1	2753999	2755231	+	1233	328	725	844	232	168	791	423	73	19	36	64	20	18	84	34
Bovatus_RS10995	NZ_CP012938.1	2755244	2755813	+	570	58	151	167	28	27	159	112	13	3	6	15	8	3	18	1
Bovatus_RS11000	NZ_CP012938.1	2755888	2756604	+	717	202	195	177	112	101	190	92	7	2	3	7	4	5	11	2
Bovatus_RS11005	NZ_CP012938.1	2757206	2760466	+	3261	94	49	67	89	61	100	40	75	84	96	29	43	34	21	8
Bovatus_RS11010	NZ_CP012938.1	2760480	2762492	+	2013	4319	2093	1184	2874	2441	1959	1214	18	17	13	1	2	17	12	5
Bovatus_RS11015	NZ_CP012938.1	2762839	2763588	+	750	169	319	351	78	52	336	146	13	10	16	29	9	11	32	16
Bovatus_RS11020	NZ_CP012938.1	2763645	2764646	-	1002	69	106	106	43	34	93	36	8	3	4	2	6	3	3	4
Bovatus_RS25655	NZ_CP012938.1	2764683	2765414	-	732	87	193	240	84	51	249	126	3	5	2	8	4	6	3	0
Bovatus_RS25660	NZ_CP012938.1	2765478	2765810	-	333	23	50	55	14	13	73	30	2	0	5	1	0	1	0	1
Bovatus_RS11030	NZ_CP012938.1	2765925	2766368	+	444	91	226	254	36	34	239	125	9	4	8	26	0	1	18	4
Bovatus_RS11035	NZ_CP012938.1	2766373	2767182	+	810	2013	1359	1019	1432	1166	1368	924	45	16	24	24	7	25	35	8
Bovatus_RS11040	NZ_CP012938.1	2767196	2767609	+	414	79	241	261	54	34	178	123	13	1	17	31	8	2	20	22
Bovatus_RS11045	NZ_CP012938.1	2767606	2767833	+	228	48	115	151	24	20	125	85	6	2	9	14	1	0	6	2
Bovatus_RS11050	NZ_CP012938.1	2767905	2768198	+	294	124	304	294	56	49	265	161	45	68	54	37	40	25	79	15
Bovatus_RS11055	NZ_CP012938.1	2768182	2768559	+	378	124	193	225	68	49	208	153	13	0	18	17	0	1	22	20
Bovatus_RS11060	NZ_CP012938.1	2768554	2769864	-	1311	445	442	457	244	162	435	227	48	24	33	40	15	17	52	22
Bovatus_RS11065	NZ_CP012938.1	2770037	2771011	-	975	176	405	430	78	95	419	241	29	26	35	37	33	11	44	22
Bovatus_RS11070	NZ_CP012938.1	2771023	2772294	-	1272	196	379	420	113	96	404	220	21	3	12	44	6	12	20	17
Bovatus_RS11075	NZ_CP012938.1	2772291	2772908	-	618	111	227	309	34	43	264	145	15	4	19	23	4	2	14	4
Bovatus_RS11080	NZ_CP012938.1	2772925	2773863	-	939	250	538	740	204	131	592	327	34	15	21	48	8	4	34	23
Bovatus_RS11085	NZ_CP012938.1	2773844	2774806	-	963	97	188	226	66	42	198	119	19	3	11	14	9	4	25	5
Bovatus_RS11090	NZ_CP012938.1	2774908	2775633	+	726	805	659	542	415	319	541	344	36	3	9	17	3	3	57	15
Bovatus_RS11095	NZ_CP012938.1	2775847	2776182	-	336	1780	4304	4745	847	709	3862	2521	313	36	214	368	116	49	455	159
Bovatus_RS11100	NZ_CP012938.1	2776223	2776537	-	315	1469	3663	4241	618	589	3693	2059	249	181	345	343	186	72	479	118
Bovatus_RS11105	NZ_CP012938.1	2776689	2777705	-	1017	210	307	342	147	85	287	176	11	14	13	10	16	17	33	5
Bovatus_RS11110	NZ_CP012938.1	2777905	2779344	+	1440	24	24	17	26	20	23	15	12	8	10	6	12	10	8	6
Bovatus_RS11115	NZ_CP012938.1	2779372	2780697	+	1326	32	29	18	29	26	36	9	12	5	7	1	6	1	3	3
Bovatus_RS11120	NZ_CP012938.1	2780927	2781517	+	591	523	317	229	292	247	291	137	2	5	3	15	1	4	5	8
Bovatus_RS11125	NZ_CP012938.1	2781607	2782602	+	996	73	62	41	63	32	47	22	1	5	3	3	9	1	7	1
Bovatus_RS11130	NZ_CP012938.1	2782762	2786109	+	3348	1197	588	374	807	562	468	296	39	22	33	6	28	11	26	5
Bovatus_RS11135	NZ_CP012938.1	2786122	2787615	+	1494	70	50	53	53	38	79	26	38	11	15	5	8	14	10	3
Bovatus_RS11140	NZ_CP012938.1	2787662	2789149	+	1488	51	59	40	26	16	53	17	42	17	17	4	18	23	11	2
Bovatus_RS11145	NZ_CP012938.1	2789162	2790127	+	966	107	68	58	68	56	57	34	65	11	33	8	28	20	5	3
Bovatus_RS11150	NZ_CP012938.1	2790207	2791094	+	888	119	86	99	86	58	97	45	3	0	5	4	2	1	0	0
Bovatus_RS11155	NZ_CP012938.1	2791117	2793438	+	2322	214	171	149	135	118	183	92	68	85	122	31	32	70	60	19
Bovatus_RS11160	NZ_CP012938.1	2793459	2795276	+	1818	24	36	44	25	20	49	20	52	17	47	12	34	29	23	12
Bovatus_RS11165	NZ_CP012938.1	2795349	2796734	+	1386	86	84	95	65	50	106	71	17	7	7	10	4	1	2	3
Bovatus_RS11170	NZ_CP012938.1	2796889	2800131	+	3243	282	210	155	192	134	250	137	33	19	36	18	15	17	20	23
Bovatus_RS11175	NZ_CP012938.1	2800350	2804156	-	3807	1645	4185	5141	965	781	4960	2608	181	44	153	332	93	69	381	117
Bovatus_RS11180	NZ_CP012938.1	2804318	2805004	+	687	1543	1994	2014	727	688	1897	1201	113	19	104	137	50	29	195	50
Bovatus_RS11185	NZ_CP012938.1	2805015	2805722	+	708	713	1314	1545	441	370	1324	802	59	15	45	81	23	13	94	47
Bovatus_RS11190	NZ_CP012938.1	2805790	2806080	+	291	111	309	363	54	46	305	144	14	4	20	25	7	4	36	0
Bovatus_RS11195	NZ_CP012938.1	2806096	2806533	-	438	66	208	217	30	54	190	121	19	14	10	12	12	18	18	10
Bovatus_RS11200	NZ_CP012938.1	2806574	2806807	-	234	29	54	65	10	16	66	39	5	2	6	6	2	6	4	2
Bovatus_RS11205	NZ_CP012938.1	2806875	2807240	+	366	134	113	131	82	90	129	68	77	158	210	35	98	61	113	9
Bovatus_RS11210	NZ_CP012938.1	2807355	2807711	+	357	132	190	170	85	66	165	102	10	2	14	8	9	2	17	2
Bovatus_RS11215	NZ_CP012938.1	2807695	2808453	+	759	96	278	332	56	37	281	167	22	8	6	20	5	3	23	11
Bovatus_RS11220	NZ_CP012938.1	2808520	2809809	+	1290	225	483	482	141	103	407	259	18	5	56	20	12	5	33	14
Bovatus_RS11225	NZ_CP012938.1	2809843	2810526	-	684	118	263	235	73	83	234	157	24	2	8	11	9	10	13	19
Bovatus_RS11230	NZ_CP012938.1	2810639	2811967	+	1329	530	403	276	356	291	317	245	21	31	46	12	14	14	25	6
Bovatus_RS11235	NZ_CP012938.1	2812022	2812732	+	711	558	1129	1111	1113	694	1318	781	70	20	36	104	17	13	108	51
Bovatus_RS11240	NZ_CP012938.1	2812908	2814461	-	1554	82	54	57	68	40	101	40	7	10	8	8	9	8	7	5
Bovatus_RS11245	NZ_CP012938.1	2814472	2815884	-	1413	55	30	31	34	31	41	14	24	18	18	2	12	13	9	8
Bovatus_RS11250	NZ_CP012938.1	2815888	2818551	-	2664	91	74	43	135	86	97	44	54	11	28	14	24	18	8	13
Bovatus_RS11255	NZ_CP012938.1	2818563	2820677	-	2115	2682	1199	530	1908	1412	795	585	26	24	31	5	9	11	9	2
Bovatus_RS11260	NZ_CP012938.1	2820703	2822316	-	1614	24	16	24	20	17	21	7	21	19	24	6	7	7	4	7
Bovatus_RS11265	NZ_CP012938.1	2822331	2825390	-	3060	921	491	281	684	530	507	295	117	120	111	26	55	82	56	12
Bovatus_RS11270	NZ_CP012938.1	2825522	2829556	-	4035	1420	778	434	1016	775	685	395	25	18	21	10	14	21	12	18
Bovatus_RS11275	NZ_CP012938.1	2829958	2830869	+	912	252	452	544	238	219	484	312	29	11	16	38	16	7	28	5
Bovatus_RS11280	NZ_CP012938.1	2830921	2831481	+	561	642	1856	2184	290	302	1991	998	190	21	101	274	64	28	298	92
Bovatus_RS11285	NZ_CP012938.1	2831588	2832520	+	933	728	1420	1650	334	297	1593	794	85	36	89	108	23	28	108	43
Bovatus_RS11290	NZ_CP012938.1	2832598	2833269	+	672	45	154	161	35	22	169	68	5	1	11	15	9	5	12	6
Bovatus_RS11295	NZ_CP012938.1	2833409	2834497	+	1089	99	153	121	81	72	157	62	28	21	48	17	13	7	23	5
Bovatus_RS11300	NZ_CP012938.1	2834669	2837701	+	3033	323	315	429	151	135	417	198	64	16	29	27	16	16	42	17
Bovatus_RS11305	NZ_CP012938.1	2837698	2839038	+	1341	50	139	170	30	39	159	71	46	28	42	16	29	22	21	4
Bovatus_RS11310	NZ_CP012938.1	2839189	2840283	+	1095	47	43	59	27	27	55	36	32	10	21	12	17	9	5	1
Bovatus_RS11315	NZ_CP012938.1	2840451	2842088	-	1638	3412	8288	9989	1733	1578	9212	5338	463	52	276	768	169	109	839	300
Bovatus_RS24740	NZ_CP012938.1	2842123	2842383	+	261	52	92	109	22	24	120	101	6	3	6	11	0	3	1	2
Bovatus_RS11320	NZ_CP012938.1	2842355	2844346	-	1992	1682	3497	4132	849	778	3783	2314	134	92	174	139	57	86	174	51
Bovatus_RS11325	NZ_CP012938.1	2844439	2845698	-	1260	535	1272	1469	268	261	1489	793	180	222	274	175	101	89	304	48
Bovatus_RS11330	NZ_CP012938.1	2845801	2847261	-	1461	2031	4143	5135	1316	852	4757	2456	92	39	63	211	41	26	169	75
Bovatus_RS11335	NZ_CP012938.1	2847275	2850391	-	3117	6586	15326	19458	3878	2962	18440	10208	242	32	189	357	99	51	424	114
Bovatus_RS11340	NZ_CP012938.1	2850841	2852013	+	1173	17	33	36	20	18	49	14	12	12	6	1	9	12	3	0
Bovatus_RS11350	NZ_CP012938.1	2852898	2855717	+	2820	7521	19347	24492	3921	3111	20324	10760	463	268	604	752	291	233	747	308
Bovatus_RS11355	NZ_CP012938.1	2855743	2857149	+	1407	4281	10697	13982	2177	1699	11099	5912	225	30	191	437	111	43	409	165
Bovatus_RS11360	NZ_CP012938.1	2857776	2858426	-	651	229	529	515	109	108	488	278	25	1	10	43	11	2	37	34
Bovatus_RS11365	NZ_CP012938.1	2858488	2859180	-	693	112	93	106	59	51	112	64	4	4	6	13	5	4	5	9
Bovatus_RS11370	NZ_CP012938.1	2859278	2860135	-	858	1315	2992	3402	638	566	3277	2218	197	27	145	245	102	21	401	162
Bovatus_RS11375	NZ_CP012938.1	2860169	2860843	-	675	263	603	739	144	91	685	411	49	24	42	60	23	6	93	19
Bovatus_RS11380	NZ_CP012938.1	2860856	2861584	-	729	312	678	754	153	125	634	433	51	10	26	96	13	15	78	25
Bovatus_RS11385	NZ_CP012938.1	2861725	2862324	+	600	229	470	462	101	78	432	270	15	3	24	26	4	1	40	14
Bovatus_RS11390	NZ_CP012938.1	2862346	2863470	+	1125	290	567	720	156	132	603	370	39	9	34	40	9	12	39	9
Bovatus_RS11405	NZ_CP012938.1	2864521	2865537	+	1017	221	512	722	91	84	551	322	20	10	24	45	10	10	37	17
Bovatus_RS25765	NZ_CP012938.1	2865648	2865773	-	126	57	134	158	36	19	187	65	8	2	17	15	6	1	22	9
Bovatus_RS11410	NZ_CP012938.1	2865824	2866228	-	405	235	438	550	101	86	483	277	25	1	17	23	12	4	21	9
Bovatus_RS11415	NZ_CP012938.1	2866244	2866663	-	420	248	607	773	113	97	587	317	22	3	21	47	13	2	35	17
Bovatus_RS11420	NZ_CP012938.1	2867206	2870292	+	3087	91	75	47	110	68	90	46	27	13	33	8	13	16	5	8
Bovatus_RS11425	NZ_CP012938.1	2870308	2872146	+	1839	78	41	55	746	402	423	110	31	12	14	9	5	8	0	13
Bovatus_RS25495	NZ_CP012938.1	2872238	2872402	-	165	20	33	41	5	1	33	13	6	7	6	1	5	4	5	0
Bovatus_RS11430	NZ_CP012938.1	2872417	2873259	-	843	68	170	166	104	59	181	93	110	240	190	30	111	38	103	12
Bovatus_RS11435	NZ_CP012938.1	2873654	2875747	-	2094	4089	1909	989	2702	2210	1475	853	7	7	9	2	4	10	10	4
Bovatus_RS11440	NZ_CP012938.1	2876095	2876745	+	651	812	456	240	530	498	420	277	11	5	7	11	4	7	2	2
Bovatus_RS11445	NZ_CP012938.1	2876959	2878029	-	1071	147	378	494	80	73	425	262	8	2	34	41	15	2	40	17
Bovatus_RS11450	NZ_CP012938.1	2878207	2879919	-	1713	4590	2387	1265	3185	2738	1973	1617	27	15	29	7	16	24	18	10
Bovatus_RS11455	NZ_CP012938.1	2880219	2880539	-	321	5	10	18	6	8	21	7	0	0	1	0	0	0	0	0
Bovatus_RS11460	NZ_CP012938.1	2880693	2881265	+	573	90	213	236	31	49	160	89	10	5	22	9	9	0	14	11
Bovatus_RS11465	NZ_CP012938.1	2881340	2881705	+	366	66	127	152	31	29	151	95	13	1	8	8	0	1	6	7
Bovatus_RS11470	NZ_CP012938.1	2881964	2884096	+	2133	478	1131	1308	300	231	1100	678	84	69	152	89	40	48	107	40
Bovatus_RS11475	NZ_CP012938.1	2884200	2884676	+	477	83	199	238	46	55	212	94	19	2	1	20	2	2	20	4
Bovatus_RS11480	NZ_CP012938.1	2884731	2885576	+	846	283	733	780	134	103	792	389	55	15	43	53	32	12	79	22
Bovatus_RS11485	NZ_CP012938.1	2885650	2886270	-	621	61	174	205	42	30	169	135	18	4	16	42	9	4	23	11
Bovatus_RS11490	NZ_CP012938.1	2886469	2886885	+	417	18	35	51	7	10	40	25	3	2	3	6	1	2	8	0
Bovatus_RS11495	NZ_CP012938.1	2886882	2888012	+	1131	63	86	82	66	32	84	87	22	13	16	8	5	10	8	6
Bovatus_RS11500	NZ_CP012938.1	2888044	2888514	+	471	10	15	24	3	8	26	9	3	2	19	3	1	1	3	3
Bovatus_RS11505	NZ_CP012938.1	2889113	2890525	+	1413	142	122	162	97	70	160	76	28	33	50	18	16	37	44	6
Bovatus_RS11510	NZ_CP012938.1	2890517	2891713	-	1197	149	175	174	103	67	224	82	15	5	17	9	8	6	18	20
Bovatus_RS11515	NZ_CP012938.1	2891963	2892181	+	219	29	35	62	20	12	53	39	7	0	10	10	1	0	4	0
Bovatus_RS11520	NZ_CP012938.1	2892229	2893185	-	957	276136	156266	83647	232128	189963	153232	110218	29	27	57	18	27	23	37	4
Bovatus_RS11525	NZ_CP012938.1	2893324	2894697	-	1374	273	352	364	137	115	355	210	23	7	18	31	12	12	32	6
Bovatus_RS11530	NZ_CP012938.1	2894791	2895525	-	735	60	98	105	64	40	127	60	30	37	42	18	31	12	25	12
Bovatus_RS11535	NZ_CP012938.1	2895528	2896166	-	639	117	212	319	89	64	258	147	26	3	24	25	10	8	27	13
Bovatus_RS11540	NZ_CP012938.1	2896238	2896708	-	471	50	117	199	12	28	117	76	8	3	5	17	3	0	15	4
Bovatus_RS11545	NZ_CP012938.1	2896887	2898173	+	1287	230	237	272	130	106	293	182	37	14	44	21	30	15	21	1
Bovatus_RS11550	NZ_CP012938.1	2898242	2898481	+	240	103	148	113	88	81	129	83	13	2	9	11	4	1	17	2
Bovatus_RS11555	NZ_CP012938.1	2898584	2899492	-	909	788	2013	2224	418	331	1884	1165	108	17	86	156	46	18	234	76
Bovatus_RS11560	NZ_CP012938.1	2899718	2901967	+	2250	1178	806	558	979	839	771	520	52	14	34	23	12	11	14	7
Bovatus_RS11565	NZ_CP012938.1	2901980	2902591	+	612	405	226	168	217	190	226	110	3	6	12	12	1	2	8	1
Bovatus_RS11570	NZ_CP012938.1	2902588	2903214	+	627	50	102	93	35	18	94	56	3	0	8	9	3	2	0	0
Bovatus_RS11575	NZ_CP012938.1	2903347	2904648	-	1302	688	1407	1611	363	302	1536	924	139	19	105	160	85	38	180	62
Bovatus_RS11580	NZ_CP012938.1	2904662	2905870	-	1209	537	1113	1430	341	288	1414	787	57	10	52	80	31	10	96	19
Bovatus_RS11585	NZ_CP012938.1	2905878	2908313	-	2436	12383	8345	6209	9404	7892	8260	5818	136	45	131	168	63	32	208	46
Bovatus_RS11590	NZ_CP012938.1	2908715	2909752	+	1038	79	89	110	63	39	81	63	16	3	12	5	2	3	8	6
Bovatus_RS11595	NZ_CP012938.1	2909839	2911206	+	1368	347	636	774	254	183	804	437	59	8	72	48	35	22	68	13
Bovatus_RS11600	NZ_CP012938.1	2911273	2912925	+	1653	293	621	747	142	145	700	404	55	15	30	52	35	14	81	16
Bovatus_RS11605	NZ_CP012938.1	2912942	2913544	+	603	72	119	173	77	41	141	91	3	3	3	0	5	6	17	0
Bovatus_RS11610	NZ_CP012938.1	2913635	2916097	+	2463	286	776	880	209	158	1339	773	68	68	80	56	41	24	93	9
Bovatus_RS24760	NZ_CP012938.1	2916343	2916852	+	510	24	58	118	18	21	111	54	1	1	2	7	2	2	10	5
Bovatus_RS11615	NZ_CP012938.1	2916922	2918535	+	1614	148	323	317	91	85	330	215	30	15	26	52	11	10	40	8
Bovatus_RS11620	NZ_CP012938.1	2918905	2920098	+	1194	30	81	79	16	22	109	36	15	35	26	9	6	25	14	2
Bovatus_RS11630	NZ_CP012938.1	2920242	2920772	-	531	56	65	97	34	24	108	62	27	6	3	13	1	2	10	5
Bovatus_RS11635	NZ_CP012938.1	2920809	2921954	-	1146	275	593	761	149	132	669	346	37	21	44	44	21	38	43	11
Bovatus_RS11640	NZ_CP012938.1	2921951	2923780	-	1830	657	1280	1470	500	361	1406	811	100	99	180	108	60	76	141	33
Bovatus_RS11645	NZ_CP012938.1	2923777	2924694	-	918	355	823	1065	193	196	942	503	37	8	44	54	17	8	69	20
Bovatus_RS11650	NZ_CP012938.1	2924875	2925045	+	171	711	2211	2079	323	358	1795	1108	607	42	310	438	197	48	596	228
Bovatus_RS11655	NZ_CP012938.1	2925270	2926463	-	1194	3290	7003	8296	1760	1658	7540	4320	450	120	329	685	204	108	748	163
Bovatus_RS11660	NZ_CP012938.1	2926546	2927763	-	1218	2027	4583	6009	992	875	5456	2935	191	20	129	358	85	42	349	130
Bovatus_RS11665	NZ_CP012938.1	2927769	2929667	-	1899	611	1203	1365	267	229	1210	764	89	20	55	116	36	22	118	61
Bovatus_RS11670	NZ_CP012938.1	2929744	2930130	-	387	345	391	272	204	162	313	160	5	2	13	13	5	7	15	0
Bovatus_RS11680	NZ_CP012938.1	2930664	2931173	-	510	29	19	18	19	23	23	9	4	6	14	0	8	3	3	2
Bovatus_RS11685	NZ_CP012938.1	2931324	2931533	-	210	7	8	6	7	6	1	3	57	6	45	9	16	27	2	0
Bovatus_RS11690	NZ_CP012938.1	2931561	2931893	-	333	1	3	0	0	2	3	1	0	2	4	0	0	0	1	0
Bovatus_RS11695	NZ_CP012938.1	2932112	2932363	+	252	50	186	185	29	24	161	92	18	7	15	18	7	3	21	18
Bovatus_RS11700	NZ_CP012938.1	2932378	2932947	+	570	147	400	400	84	42	417	189	28	5	8	29	1	2	29	12
Bovatus_RS11705	NZ_CP012938.1	2933130	2933399	-	270	7	19	24	12	8	22	12	3	0	1	2	2	7	2	1
Bovatus_RS11710	NZ_CP012938.1	2933671	2934480	-	810	10	10	17	13	8	12	12	4	15	8	7	3	8	6	3
Bovatus_RS11715	NZ_CP012938.1	2934482	2934817	-	336	7	0	3	5	2	13	2	6	28	21	1	10	10	1	0
Bovatus_RS11720	NZ_CP012938.1	2934873	2936045	-	1173	54	30	16	117	77	82	50	50	86	145	17	43	45	42	6
Bovatus_RS11725	NZ_CP012938.1	2936067	2936360	-	294	15	11	23	11	2	19	10	5	3	0	6	1	2	1	0
Bovatus_RS11730	NZ_CP012938.1	2936597	2937034	-	438	61	96	111	30	19	137	37	18	34	16	2	5	4	6	0
Bovatus_RS11735	NZ_CP012938.1	2937144	2938361	-	1218	291	296	293	569	397	464	203	33	7	25	24	5	5	11	8
Bovatus_RS11740	NZ_CP012938.1	2938756	2940063	-	1308	1424	3595	3999	919	753	3566	2121	122	30	80	238	62	32	240	123
Bovatus_RS11745	NZ_CP012938.1	2940290	2941729	-	1440	163	240	233	90	90	203	127	18	10	10	10	11	5	23	7
Bovatus_RS11750	NZ_CP012938.1	2941750	2942880	-	1131	412	238	98	233	203	156	73	70	35	61	22	12	36	13	4
Bovatus_RS11755	NZ_CP012938.1	2942963	2943727	-	765	13	20	16	17	5	19	15	6	2	6	1	4	8	0	2
Bovatus_RS11760	NZ_CP012938.1	2943848	2944420	-	573	25	14	10	25	21	29	7	5	2	2	0	2	2	2	0
Bovatus_RS11765	NZ_CP012938.1	2944437	2946470	-	2034	115	74	60	65	44	68	45	10	19	21	1	7	13	8	1
Bovatus_RS11770	NZ_CP012938.1	2946489	2948195	-	1707	86	80	60	73	39	114	43	12	28	22	5	8	3	11	1
Bovatus_RS11775	NZ_CP012938.1	2948756	2951029	+	2274	101	66	45	72	48	62	34	24	14	41	10	20	13	10	8
Bovatus_RS11780	NZ_CP012938.1	2951042	2952832	+	1791	75	47	42	59	43	77	61	106	60	101	22	32	42	17	3
Bovatus_RS11820	NZ_CP012938.1	2958989	2959336	-	348	47	66	43	69	57	77	31	7	1	2	3	2	0	0	0
Bovatus_RS11825	NZ_CP012938.1	2960725	2962083	-	1359	94	51	31	73	58	38	26	6	1	10	0	5	1	3	1
Bovatus_RS11830	NZ_CP012938.1	2962680	2963888	+	1209	142	188	231	97	66	216	131	66	26	77	22	41	36	27	15
Bovatus_RS11835	NZ_CP012938.1	2964125	2966119	-	1995	138	152	96	103	81	132	87	58	28	43	18	29	59	32	8
Bovatus_RS11840	NZ_CP012938.1	2966135	2968327	-	2193	129	117	96	297	259	195	105	23	4	9	4	7	4	12	7
Bovatus_RS11845	NZ_CP012938.1	2968526	2970601	-	2076	102	81	85	195	113	158	56	102	171	175	23	48	59	27	8
Bovatus_RS11850	NZ_CP012938.1	2970618	2971583	-	966	23	30	28	11	8	39	15	12	10	3	6	8	11	2	0
Bovatus_RS11855	NZ_CP012938.1	2971646	2973292	-	1647	99	81	58	55	52	70	29	3	6	8	3	9	3	0	3
Bovatus_RS11860	NZ_CP012938.1	2973316	2976684	-	3369	215	159	147	154	125	157	93	56	25	41	8	12	24	12	11
Bovatus_RS11865	NZ_CP012938.1	2976952	2977965	-	1014	47	110	101	30	17	93	57	67	20	28	12	38	41	25	3
Bovatus_RS11870	NZ_CP012938.1	2978037	2978627	-	591	51	77	72	29	24	43	42	8	9	11	3	9	2	8	9
Bovatus_RS11875	NZ_CP012938.1	2978740	2981271	-	2532	324	213	173	250	201	228	166	17	29	22	13	13	18	17	2
Bovatus_RS11880	NZ_CP012938.1	2981279	2982352	-	1074	9	10	21	9	12	15	18	12	3	8	4	8	6	1	0
Bovatus_RS11885	NZ_CP012938.1	2982389	2983867	-	1479	102	85	73	97	48	96	49	16	23	17	5	12	4	10	0
Bovatus_RS11890	NZ_CP012938.1	2983914	2985329	-	1416	126	70	42	100	96	62	54	88	70	81	10	57	49	22	4
Bovatus_RS11895	NZ_CP012938.1	2985329	2986972	-	1644	94	51	19	55	62	45	24	17	12	19	4	2	6	0	1
Bovatus_RS11900	NZ_CP012938.1	2987005	2990421	-	3417	252	144	146	222	129	243	91	36	9	21	5	14	17	3	8
Bovatus_RS11905	NZ_CP012938.1	2990751	2991338	+	588	35	73	68	20	15	39	30	5	3	0	3	3	2	10	2
Bovatus_RS11910	NZ_CP012938.1	2991393	2992439	+	1047	59	99	89	36	18	81	56	7	8	12	8	8	9	11	13
Bovatus_RS11915	NZ_CP012938.1	2992697	2994895	-	2199	401	617	722	365	187	562	333	42	11	36	36	10	15	35	14
Bovatus_RS11920	NZ_CP012938.1	2994928	2996202	-	1275	551	629	591	301	247	503	308	84	9	51	46	38	48	32	6
Bovatus_RS11925	NZ_CP012938.1	2996433	2998211	+	1779	693	1582	1782	369	288	1764	1003	78	12	63	72	29	13	117	54
Bovatus_RS11930	NZ_CP012938.1	2998222	2999352	+	1131	411	787	947	159	180	890	494	26	7	27	34	16	24	48	14
Bovatus_RS11935	NZ_CP012938.1	2999309	3000118	+	810	842	1476	1580	1347	797	2036	1090	384	690	681	240	255	178	606	123
Bovatus_RS11940	NZ_CP012938.1	3000135	3001172	+	1038	709	1715	2226	425	334	2033	1145	88	35	44	139	23	22	124	64
Bovatus_RS11955	NZ_CP012938.1	3001863	3003098	+	1236	16	14	21	6	3	14	19	3	2	4	3	3	2	2	2
Bovatus_RS25665	NZ_CP012938.1	3003120	3003422	-	303	11	6	8	6	3	11	8	28	17	21	6	21	4	20	7
Bovatus_RS11965	NZ_CP012938.1	3003908	3005686	-	1779	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
Bovatus_RS11970	NZ_CP012938.1	3005775	3006119	-	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bovatus_RS11975	NZ_CP012938.1	3006121	3006489	-	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bovatus_RS11980	NZ_CP012938.1	3006694	3009117	-	2424	124	91	74	87	78	102	79	24	22	43	5	13	12	23	6
Bovatus_RS11985	NZ_CP012938.1	3009122	3011701	-	2580	496	291	165	281	254	226	148	9	5	22	14	3	9	9	3
Bovatus_RS11990	NZ_CP012938.1	3011836	3012404	-	569	18	39	56	15	9	32	14	8	3	8	3	11	2	1	1
